Unicode,UTF-8,Description
U+1F1F2 U+1F1EC,🇲🇬,flag; Madagascar
U+1F1F2 U+1F1ED,🇲🇭,flag; Marshall Islands
U+1F1F2 U+1F1F0,🇲🇰,flag; Macedonia
U+1F1F2 U+1F1F1,🇲🇱,flag; Mali
U+1F1F2 U+1F1F2,🇲🇲,flag; Myanmar (Burma)
U+1F1F2 U+1F1F3,🇲🇳,flag; Mongolia
U+1F1F2 U+1F1F4,🇲🇴,flag; Macau SAR China
U+1F1F2 U+1F1F5,🇲🇵,flag; Northern Mariana Islands
U+1F1F2 U+1F1F6,🇲🇶,flag; Martinique
U+1F1F2 U+1F1F7,🇲🇷,flag; Mauritania
U+1F1F2 U+1F1F8,🇲🇸,flag; Montserrat
U+1F1F2 U+1F1F9,🇲🇹,flag; Malta
U+1F1F2 U+1F1FA,🇲🇺,flag; Mauritius
U+1F1F2 U+1F1FB,🇲🇻,flag; Maldives
U+1F1F2 U+1F1FC,🇲🇼,flag; Malawi
U+1F1F2 U+1F1FD,🇲🇽,flag; Mexico
U+1F1F2 U+1F1FE,🇲🇾,flag; Malaysia
U+1F1F2 U+1F1FF,🇲🇿,flag; Mozambique
U+1F1F3 U+1F1E6,🇳🇦,flag; Namibia
U+1F1F3 U+1F1E8,🇳🇨,flag; New Caledonia
U+1F1F3 U+1F1EA,🇳🇪,flag; Niger
U+1F1F3 U+1F1EB,🇳🇫,flag; Norfolk Island
U+1F1F3 U+1F1EC,🇳🇬,flag; Nigeria
U+1F1F3 U+1F1EE,🇳🇮,flag; Nicaragua
U+1F1F3 U+1F1F1,🇳🇱,flag; Netherlands
U+1F1F3 U+1F1F4,🇳🇴,flag; Norway
U+1F1F3 U+1F1F5,🇳🇵,flag; Nepal
U+1F1F3 U+1F1F7,🇳🇷,flag; Nauru
U+1F1F3 U+1F1FA,🇳🇺,flag; Niue
U+1F1F3 U+1F1FF,🇳🇿,flag; New Zealand
U+1F1F4 U+1F1F2,🇴🇲,flag; Oman
U+1F1F5 U+1F1E6,🇵🇦,flag; Panama
U+1F1F5 U+1F1EA,🇵🇪,flag; Peru
U+1F1F5 U+1F1EB,🇵🇫,flag; French Polynesia
U+1F1F5 U+1F1EC,🇵🇬,flag; Papua New Guinea
U+1F1F5 U+1F1ED,🇵🇭,flag; Philippines
U+1F1F5 U+1F1F0,🇵🇰,flag; Pakistan
U+1F1F5 U+1F1F1,🇵🇱,flag; Poland
U+1F1F5 U+1F1F2,🇵🇲,flag; St. Pierre & Miquelon
U+1F1F5 U+1F1F3,🇵🇳,flag; Pitcairn Islands
U+1F1F5 U+1F1F7,🇵🇷,flag; Puerto Rico
U+1F1F5 U+1F1F8,🇵🇸,flag; Palestinian Territories
U+1F1F5 U+1F1F9,🇵🇹,flag; Portugal
U+1F1F5 U+1F1FC,🇵🇼,flag; Palau
U+1F1F5 U+1F1FE,🇵🇾,flag; Paraguay
U+1F1F6 U+1F1E6,🇶🇦,flag; Qatar
U+1F1F7 U+1F1EA,🇷🇪,flag; Réunion
U+1F1F7 U+1F1F4,🇷🇴,flag; Romania
U+1F1F7 U+1F1F8,🇷🇸,flag; Serbia
U+1F1F7 U+1F1FA,🇷🇺,flag; Russia
U+1F1F7 U+1F1FC,🇷🇼,flag; Rwanda
U+1F1F8 U+1F1E6,🇸🇦,flag; Saudi Arabia
U+1F1F8 U+1F1E7,🇸🇧,flag; Solomon Islands
U+1F1F8 U+1F1E8,🇸🇨,flag; Seychelles
U+1F1F8 U+1F1E9,🇸🇩,flag; Sudan
U+1F1F8 U+1F1EA,🇸🇪,flag; Sweden
U+1F1F8 U+1F1EC,🇸🇬,flag; Singapore
U+1F1F8 U+1F1ED,🇸🇭,flag; St. Helena
U+1F1F8 U+1F1EE,🇸🇮,flag; Slovenia
U+1F1F8 U+1F1EF,🇸🇯,flag; Svalbard & Jan Mayen
U+1F1F8 U+1F1F0,🇸🇰,flag; Slovakia
U+1F1F8 U+1F1F1,🇸🇱,flag; Sierra Leone
U+1F1F8 U+1F1F2,🇸🇲,flag; San Marino
U+1F1F8 U+1F1F3,🇸🇳,flag; Senegal
U+1F1F8 U+1F1F4,🇸🇴,flag; Somalia
U+1F1F8 U+1F1F7,🇸🇷,flag; Suriname
U+1F1F8 U+1F1F8,🇸🇸,flag; South Sudan
U+1F1F8 U+1F1F9,🇸🇹,flag; São Tomé and Príncipe
U+1F1F8 U+1F1FB,🇸🇻,flag; El Salvador
U+1F1F8 U+1F1FD,🇸🇽,flag; Sint Maarten
U+1F1F8 U+1F1FE,🇸🇾,flag; Syria
U+1F1F8 U+1F1FF,🇸🇿,flag; Swaziland
U+1F1F9 U+1F1E6,🇹🇦,flag; Tristan da Cunha
U+1F1F9 U+1F1E8,🇹🇨,flag; Turks & Caicos Islands
U+1F1F9 U+1F1E9,🇹🇩,flag; Chad
U+1F1F9 U+1F1EB,🇹🇫,flag; French Southern Territories
U+1F1F9 U+1F1EC,🇹🇬,flag; Togo
U+1F1F9 U+1F1ED,🇹🇭,flag; Thailand
U+1F1F9 U+1F1EF,🇹🇯,flag; Tajikistan
U+1F1F9 U+1F1F0,🇹🇰,flag; Tokelau
U+1F1F9 U+1F1F1,🇹🇱,flag; Timor-Leste
U+1F1F9 U+1F1F2,🇹🇲,flag; Turkmenistan
U+1F1F9 U+1F1F3,🇹🇳,flag; Tunisia
U+1F1F9 U+1F1F4,🇹🇴,flag; Tonga
U+1F1F9 U+1F1F7,🇹🇷,flag; Turkey
U+1F1F9 U+1F1F9,🇹🇹,flag; Trinidad & Tobago
U+1F1F9 U+1F1FB,🇹🇻,flag; Tuvalu
U+1F1F9 U+1F1FC,🇹🇼,flag; Taiwan
U+1F1F9 U+1F1FF,🇹🇿,flag; Tanzania
U+1F1FA U+1F1E6,🇺🇦,flag; Ukraine
U+1F1FA U+1F1EC,🇺🇬,flag; Uganda
U+1F1FA U+1F1F2,🇺🇲,flag; U.S. Outlying Islands
U+1F1FA U+1F1F3,🇺🇳,flag; United Nations
U+1F1FA U+1F1F8,🇺🇸,flag; United States
U+1F1FA U+1F1FE,🇺🇾,flag; Uruguay
U+1F1FA U+1F1FF,🇺🇿,flag; Uzbekistan
U+1F1FB U+1F1E6,🇻🇦,flag; Vatican City
U+1F1FB U+1F1E8,🇻🇨,flag; St. Vincent & Grenadines
U+1F1FB U+1F1EA,🇻🇪,flag; Venezuela
U+1F1FB U+1F1EC,🇻🇬,flag; British Virgin Islands
U+1F1FB U+1F1EE,🇻🇮,flag; U.S. Virgin Islands
U+1F1FB U+1F1F3,🇻🇳,flag; Vietnam
U+1F1FB U+1F1FA,🇻🇺,flag; Vanuatu
U+1F1FC U+1F1EB,🇼🇫,flag; Wallis & Futuna
U+1F1FC U+1F1F8,🇼🇸,flag; Samoa
U+1F1FD U+1F1F0,🇽🇰,flag; Kosovo
U+1F1FE U+1F1EA,🇾🇪,flag; Yemen
U+1F1FE U+1F1F9,🇾🇹,flag; Mayotte
U+1F1FF U+1F1E6,🇿🇦,flag; South Africa
U+1F1FF U+1F1F2,🇿🇲,flag; Zambia
U+1F1FF U+1F1FC,🇿🇼,flag; Zimbabwe
U+1F201,🈁,Japanese here button
U+1F202,🈂,Japanese service charge button
U+1F21A,🈚,Japanese free of charge button
U+1F22F,🈯,Japanese reserved button
U+1F232,🈲,Japanese prohibited button
U+1F233,🈳,Japanese vacancy button
U+1F234,🈴,Japanese passing grade button
U+1F235,🈵,Japanese no vacancy button
U+1F236,🈶,Japanese not free of charge button
U+1F237,🈷,Japanese monthly amount button
U+1F238,🈸,Japanese application button
U+1F239,🈹,Japanese discount button
U+1F23A,🈺,Japanese open for business button
U+1F250,🉐,Japanese bargain button
U+1F251,🉑,Japanese acceptable button
U+1F300,🌀,cyclone
U+1F301,🌁,foggy
U+1F302,🌂,closed umbrella
U+1F303,🌃,night with stars
U+1F304,🌄,sunrise over mountains
U+1F305,🌅,sunrise
U+1F306,🌆,cityscape at dusk
U+1F307,🌇,sunset
U+1F308,🌈,rainbow
U+1F309,🌉,bridge at night
U+1F30A,🌊,water wave
U+1F30B,🌋,volcano
U+1F30C,🌌,milky way
U+1F30D,🌍,globe showing Europe-Africa
U+1F30E,🌎,globe showing Americas
U+1F30F,🌏,globe showing Asia-Australia
U+1F310,🌐,globe with meridians
U+1F311,🌑,new moon
U+1F312,🌒,waxing crescent moon
U+1F313,🌓,first quarter moon
U+1F314,🌔,waxing gibbous moon
U+1F315,🌕,full moon
U+1F316,🌖,waning gibbous moon
U+1F317,🌗,last quarter moon
U+1F318,🌘,waning crescent moon
U+1F319,🌙,crescent moon
U+1F31A,🌚,new moon face
U+1F31B,🌛,first quarter moon face
U+1F31C,🌜,last quarter moon face
U+1F31D,🌝,full moon face
U+1F31E,🌞,sun with face
U+1F31F,🌟,glowing star
U+1F320,🌠,shooting star
U+1F321,🌡,thermometer
U+1F324,🌤,sun behind small cloud
U+1F325,🌥,sun behind large cloud
U+1F326,🌦,sun behind rain cloud
U+1F327,🌧,cloud with rain
U+1F328,🌨,cloud with snow
U+1F329,🌩,cloud with lightning
U+1F32A,🌪,tornado
U+1F32B,🌫,fog
U+1F32C,🌬,wind face
U+1F32D,🌭,hot dog
U+1F32E,🌮,taco
U+1F32F,🌯,burrito
U+1F330,🌰,chestnut
U+1F331,🌱,seedling
U+1F332,🌲,evergreen tree
U+1F333,🌳,deciduous tree
U+1F334,🌴,palm tree
U+1F335,🌵,cactus
U+1F336,🌶,hot pepper
U+1F337,🌷,tulip
U+1F338,🌸,cherry blossom
U+1F339,🌹,rose
U+1F33A,🌺,hibiscus
U+1F33B,🌻,sunflower
U+1F33C,🌼,blossom
U+1F33D,🌽,ear of corn
U+1F33E,🌾,sheaf of rice
U+1F33F,🌿,herb
U+1F340,🍀,four leaf clover
U+1F341,🍁,maple leaf
U+1F342,🍂,fallen leaf
U+1F343,🍃,leaf fluttering in wind
U+1F344,🍄,mushroom
U+1F345,🍅,tomato
U+1F346,🍆,eggplant
U+1F347,🍇,grapes
U+1F348,🍈,melon
U+1F349,🍉,watermelon
U+1F34A,🍊,tangerine
U+1F34B,🍋,lemon
U+1F34C,🍌,banana
U+1F34D,🍍,pineapple
U+1F34E,🍎,red apple
U+1F34F,🍏,green apple
U+1F350,🍐,pear
U+1F351,🍑,peach
U+1F352,🍒,cherries
U+1F353,🍓,strawberry
U+1F354,🍔,hamburger
U+1F355,🍕,pizza
U+1F356,🍖,meat on bone
U+1F357,🍗,poultry leg
U+1F358,🍘,rice cracker
U+1F359,🍙,rice ball
U+1F35A,🍚,cooked rice
U+1F35B,🍛,curry rice
U+1F35C,🍜,steaming bowl
U+1F35D,🍝,spaghetti
U+1F35E,🍞,bread
U+1F35F,🍟,french fries
U+1F360,🍠,roasted sweet potato
U+1F361,🍡,dango
U+1F362,🍢,oden
U+1F363,🍣,sushi
U+1F364,🍤,fried shrimp
U+1F365,🍥,fish cake with swirl
U+1F366,🍦,soft ice cream
U+1F367,🍧,shaved ice
U+1F368,🍨,ice cream
U+1F369,🍩,doughnut
U+1F36A,🍪,cookie
U+1F36B,🍫,chocolate bar
U+1F36C,🍬,candy
U+1F36D,🍭,lollipop
U+1F36E,🍮,custard
U+1F36F,🍯,honey pot
U+1F370,🍰,shortcake
U+1F371,🍱,bento box
U+1F372,🍲,pot of food
U+1F373,🍳,cooking
U+1F374,🍴,fork and knife
U+1F375,🍵,teacup without handle
U+1F376,🍶,sake
U+1F377,🍷,wine glass
U+1F378,🍸,cocktail glass
U+1F379,🍹,tropical drink
U+1F37A,🍺,beer mug
U+1F37B,🍻,clinking beer mugs
U+1F37C,🍼,baby bottle
U+1F37D,🍽,fork and knife with plate
U+1F37E,🍾,bottle with popping cork
U+1F37F,🍿,popcorn
U+1F380,🎀,ribbon
U+1F381,🎁,wrapped gift
U+1F382,🎂,birthday cake
U+1F383,🎃,jack-o-lantern
U+1F384,🎄,Christmas tree
U+1F385,🎅,Santa Claus
U+1F385 U+1F3FB,🎅🏻,Santa Claus; light skin tone
U+1F385 U+1F3FC,🎅🏼,Santa Claus; medium-light skin tone
U+1F385 U+1F3FD,🎅🏽,Santa Claus; medium skin tone
U+1F385 U+1F3FE,🎅🏾,Santa Claus; medium-dark skin tone
U+1F385 U+1F3FF,🎅🏿,Santa Claus; dark skin tone
U+1F386,🎆,fireworks
U+1F387,🎇,sparkler
U+1F388,🎈,balloon
U+1F389,🎉,party popper
U+1F38A,🎊,confetti ball
U+1F38B,🎋,tanabata tree
U+1F38C,🎌,crossed flags
U+1F38D,🎍,pine decoration
U+1F38E,🎎,Japanese dolls
U+1F38F,🎏,carp streamer
U+1F390,🎐,wind chime
U+1F391,🎑,moon viewing ceremony
U+1F392,🎒,backpack
U+1F393,🎓,graduation cap
U+1F396,🎖,military medal
U+1F397,🎗,reminder ribbon
U+1F399,🎙,studio microphone
U+1F39A,🎚,level slider
U+1F39B,🎛,control knobs
U+1F39E,🎞,film frames
U+1F39F,🎟,admission tickets
U+1F3A0,🎠,carousel horse
U+1F3A1,🎡,ferris wheel
U+1F3A2,🎢,roller coaster
U+1F3A3,🎣,fishing pole
U+1F3A4,🎤,microphone
U+1F3A5,🎥,movie camera
U+1F3A6,🎦,cinema
U+1F3A7,🎧,headphone
U+1F3A8,🎨,artist palette
U+1F3A9,🎩,top hat
U+1F3AA,🎪,circus tent
U+1F3AB,🎫,ticket
U+1F3AC,🎬,clapper board
U+1F3AD,🎭,performing arts
U+1F3AE,🎮,video game
U+1F3AF,🎯,direct hit
U+1F3B0,🎰,slot machine
U+1F3B1,🎱,pool 8 ball
U+1F3B2,🎲,game die
U+1F3B3,🎳,bowling
U+1F3B4,🎴,flower playing cards
U+1F3B5,🎵,musical note
U+1F3B6,🎶,musical notes
U+1F3B7,🎷,saxophone
U+1F3B8,🎸,guitar
U+1F3B9,🎹,musical keyboard
U+1F3BA,🎺,trumpet
U+1F3BB,🎻,violin
U+1F3BC,🎼,musical score
U+1F3BD,🎽,running shirt
U+1F3BE,🎾,tennis
U+1F3BF,🎿,skis
U+1F3C0,🏀,basketball
U+1F3C1,🏁,chequered flag
U+1F3C2,🏂,snowboarder
U+1F3C2 U+1F3FB,🏂🏻,snowboarder; light skin tone
U+1F3C2 U+1F3FC,🏂🏼,snowboarder; medium-light skin tone
U+1F3C2 U+1F3FD,🏂🏽,snowboarder; medium skin tone
U+1F3C2 U+1F3FE,🏂🏾,snowboarder; medium-dark skin tone
U+1F3C2 U+1F3FF,🏂🏿,snowboarder; dark skin tone
U+1F3C3,🏃,person running
U+1F3C3 U+1F3FB,🏃🏻,person running; light skin tone
U+1F3C3 U+1F3FB U+200D U+2640 U+FE0F,🏃🏻‍♀️,woman running; light skin tone
U+1F3C3 U+1F3FB U+200D U+2642 U+FE0F,🏃🏻‍♂️,man running; light skin tone
U+1F3C3 U+1F3FC,🏃🏼,person running; medium-light skin tone
U+1F3C3 U+1F3FC U+200D U+2640 U+FE0F,🏃🏼‍♀️,woman running; medium-light skin tone
U+1F3C3 U+1F3FC U+200D U+2642 U+FE0F,🏃🏼‍♂️,man running; medium-light skin tone
U+1F3C3 U+1F3FD,🏃🏽,person running; medium skin tone
U+1F3C3 U+1F3FD U+200D U+2640 U+FE0F,🏃🏽‍♀️,woman running; medium skin tone
U+1F3C3 U+1F3FD U+200D U+2642 U+FE0F,🏃🏽‍♂️,man running; medium skin tone
U+1F3C3 U+1F3FE,🏃🏾,person running; medium-dark skin tone
U+1F3C3 U+1F3FE U+200D U+2640 U+FE0F,🏃🏾‍♀️,woman running; medium-dark skin tone
U+1F3C3 U+1F3FE U+200D U+2642 U+FE0F,🏃🏾‍♂️,man running; medium-dark skin tone
U+1F3C3 U+1F3FF,🏃🏿,person running; dark skin tone
U+1F3C3 U+1F3FF U+200D U+2640 U+FE0F,🏃🏿‍♀️,woman running; dark skin tone
U+1F3C3 U+1F3FF U+200D U+2642 U+FE0F,🏃🏿‍♂️,man running; dark skin tone
